id,mes,año,pais,tipoProducto,pesoToneladas,montoMillonesDolares
1,Junio,2025,Estados Unidos,café,179,1058.5041
2,Agosto,2025,Honduras,frutas,98,2619.8117
3,Septiembre,2023,Brasil,café,119,4787.884
4,Octubre,2024,Guatemala,café,1,3719.4502
5,Abril,2023,Colombia,café,200,2502.0689
6,Junio,2025,Guatemala,cacao,80,2508.7031
7,Abril,2024,Costa Rica,banano,1,731.3719
8,Junio,2024,Honduras,banano,19,3792.5159
9,Agosto,2025,Honduras,cosméticos,200,274.5928
10,Noviembre,2024,Colombia,café,153,4496.105
11,Marzo,2023,Argentina,banano,164,2185.837
12,Julio,2025,Colombia,textiles,143,3606.6825
13,Octubre,2025,Argentina,pesca,58,139.5178
14,Abril,2024,Guatemala,café,90,1630.4884
15,Junio,2023,Honduras,cosméticos,98,3122.2531
16,Septiembre,2024,Honduras,café,113,4620.7294
17,Septiembre,2023,Estados Unidos,frutas,106,2448.0321
18,Julio,2024,Argentina,café,113,3484.9507
19,Septiembre,2025,Argentina,textiles,159,2080.5591
20,Septiembre,2024,Estados Unidos,cacao,109,4338.358
21,Junio,2024,Estados Unidos,textiles,87,4216.1389
22,Septiembre,2024,Estados Unidos,cosméticos,114,2169.6314
23,Enero,2024,Costa Rica,pesca,142,4600.3855
24,Mayo,2025,Argentina,cacao,107,445.6956
25,Julio,2023,Estados Unidos,café,41,2803.9027
26,Febrero,2023,Colombia,pesca,118,4819.0743
27,Abril,2024,México,cacao,87,93.6901
28,Mayo,2024,Brasil,cacao,190,2877.9464
29,Abril,2025,Brasil,cosméticos,29,3056.395
30,Abril,2023,Argentina,banano,109,715.942
31,Enero,2024,Colombia,textiles,124,1859.5865
32,Junio,2023,Argentina,cacao,180,3938.2813
33,Enero,2024,Argentina,cacao,159,2143.5932
34,Octubre,2024,Estados Unidos,frutas,193,1520.5525
35,Septiembre,2024,Colombia,pesca,185,3322.8644
36,Febrero,2025,Canadá,cosméticos,140,4326.2889
37,Agosto,2025,Guatemala,banano,105,876.6091
38,Marzo,2023,Guatemala,frutas,24,1285.9257
39,Enero,2025,Costa Rica,café,83,1466.0629
40,Julio,2023,México,pesca,199,1315.2372
41,Agosto,2025,México,textiles,142,684.139
42,Julio,2025,Colombia,pesca,22,286.5192
43,Junio,2024,Costa Rica,pesca,6,2391.7198
44,Marzo,2024,Brasil,cosméticos,131,415.5873
45,Octubre,2025,Argentina,cosméticos,37,741.4929
46,Enero,2024,Argentina,banano,18,2918.2436
47,Febrero,2024,Argentina,pesca,192,3589.8749
48,Julio,2024,Brasil,frutas,91,2314.8668
49,Enero,2024,Honduras,flores,179,1594.8127
50,Enero,2024,Guatemala,pesca,34,3493.9442
51,Abril,2024,Colombia,flores,11,2302.9079
52,Julio,2025,Colombia,banano,127,4033.2129
53,Mayo,2023,Argentina,flores,120,3565.4544
54,Noviembre,2023,Honduras,banano,161,3241.0281
55,Agosto,2023,Honduras,cacao,72,694.21
56,Marzo,2023,Colombia,flores,185,2293.2141
57,Enero,2024,Guatemala,pesca,155,3106.5846
58,Mayo,2023,Honduras,cacao,111,3330.7861
59,Febrero,2024,Guatemala,café,162,4018.2791
60,Noviembre,2024,Costa Rica,cacao,50,706.1361
61,Junio,2024,Guatemala,cacao,180,3184.6644
62,Noviembre,2023,Honduras,banano,134,2743.3461
63,Abril,2025,Colombia,textiles,150,2914.3473
64,Marzo,2025,Guatemala,frutas,97,2104.4271
65,Diciembre,2024,Argentina,pesca,144,2624.7212
66,Julio,2024,Honduras,pesca,24,629.4912
67,Noviembre,2024,Brasil,textiles,3,2974.3955
68,Agosto,2024,Guatemala,banano,169,65.8738
69,Septiembre,2023,Argentina,frutas,155,1299.6756
70,Octubre,2025,Honduras,flores,85,2465.7357
71,Marzo,2023,Guatemala,cosméticos,187,1693.5175
72,Agosto,2024,Brasil,cosméticos,153,618.8603
73,Enero,2025,Colombia,cosméticos,81,4553.3124
74,Octubre,2025,Guatemala,banano,86,1365.8394
75,Julio,2023,Costa Rica,cacao,40,3527.3643
76,Junio,2025,Canadá,banano,60,1326.4637
77,Agosto,2024,Honduras,cosméticos,21,4153.9994
78,Abril,2024,Estados Unidos,banano,25,2724.7141
79,Junio,2024,Argentina,textiles,114,1330.3664
80,Mayo,2023,Honduras,cacao,61,388.2611
81,Agosto,2025,Canadá,frutas,164,173.5896
82,Junio,2023,Brasil,cacao,67,3948.546
83,Noviembre,2025,Honduras,textiles,167,4447.9644
84,Febrero,2024,México,pesca,4,3522.2054
85,Junio,2024,Argentina,flores,163,4523.2441
86,Enero,2025,Estados Unidos,cacao,112,633.4675
87,Agosto,2023,Costa Rica,café,30,3182.6438
88,Octubre,2025,Guatemala,flores,66,1284.4861
89,Noviembre,2023,México,flores,44,1933.6715
90,Octubre,2024,Estados Unidos,cacao,176,2726.1931
91,Marzo,2025,Brasil,banano,22,18.8331
92,Junio,2025,Brasil,frutas,143,408.4534
93,Junio,2025,Guatemala,banano,69,793.7631
94,Noviembre,2024,Costa Rica,banano,38,4619.3357
95,Julio,2024,Guatemala,cosméticos,156,153.2228
96,Enero,2023,México,textiles,116,3710.6455
97,Octubre,2025,Colombia,banano,175,4474.9913
98,Febrero,2025,Honduras,cosméticos,29,3346.2798
99,Diciembre,2024,Guatemala,textiles,153,2115.0799
100,Abril,2024,Argentina,café,130,1552.7855
101,Diciembre,2025,Canadá,banano,129,450.2674
102,Febrero,2023,México,flores,47,4066.0127
103,Mayo,2025,Costa Rica,cosméticos,103,1271.3594
104,Septiembre,2025,Guatemala,cacao,9,646.9695
105,Mayo,2024,Guatemala,café,185,3445.9853
106,Marzo,2025,Estados Unidos,flores,157,4896.6678
107,Marzo,2023,Brasil,frutas,50,2902.7996
108,Junio,2023,Estados Unidos,pesca,150,2068.347
109,Junio,2025,Estados Unidos,pesca,26,696.9628
110,Marzo,2025,Guatemala,frutas,54,3614.628
111,Junio,2025,México,pesca,126,3532.2345
112,Enero,2025,Guatemala,cosméticos,112,4127.1737
113,Marzo,2023,Honduras,café,161,3981.5885
114,Junio,2024,Brasil,flores,13,3178.2912
115,Abril,2025,Colombia,flores,33,3578.5582
116,Septiembre,2025,Colombia,banano,89,4086.2178
117,Octubre,2024,Brasil,pesca,114,4088.9031
118,Octubre,2024,Canadá,cacao,36,2989.0044
119,Octubre,2024,México,cosméticos,188,4858.833
120,Mayo,2023,Estados Unidos,banano,91,1898.2465
121,Febrero,2023,Canadá,cacao,87,2202.0171
